actor,movie_or_TV_name
Masato Yamanouchi,Invincible Steel Man Daitarn 3
Masato Yamanouchi,Future Boy Conan
Masato Yamanouchi,"Tenguri, Boy of the Plains"
Masato Yamanouchi,Casshan
Masato Yamanouchi,GO GET THEM 0011!!
Masato Yamanouchi,Decision
Hiroshi Yanaka,Cyberpunk: Edgerunners
Hiroshi Yanaka,SPY x FAMILY
Hiroshi Yanaka,Deaimon: Recipe for Happiness
Hiroshi Yanaka,Tomodachi Game
Hiroshi Yanaka,Super Crooks
Hiroshi Yanaka,The Faraway Paladin
Hiroshi Yanaka,The aquatope on white sand
Hiroshi Yanaka,MARS RED
Sanryô Odaka,Cybuster
Sanryô Odaka,Virus Buster Serge
Sanryô Odaka,Ghost in the Shell
Kazuhiro Yamaji,Sand Land: The Series
Atsuko Tanaka,Tari Tari
Atsuko Tanaka,Ozma
Atsuko Tanaka,Doraemon: Nobita and the Island of Miracles – Animal Adventure
Atsuko Tanaka,Bread of Happiness
Atsuko Tanaka,Zero Escape: Virtue's Last Reward Special OVA
Atsuko Tanaka,Carnival Phantasm: Illya's Castle
Yuji Ueda,Meloetta's Moonlight Serenade
Yuji Ueda,Rurouni Kenshin: New Kyoto Arc: Cage of Flames
Yuji Ueda,Chihayafuru
Yuji Ueda,Mobile Suit Gundam 00: A Wakening of the Trailblazer
Yuji Ueda,Pikachu's Strange Wonder Adventure
Yuji Ueda,Pokémon: Zoroark - Master of Illusions
Yuji Ueda,Mobile Suit Gundam 00 Special Edition III: Return The World
Maaya Sakamoto,Child of Kamiari Month
Maaya Sakamoto,Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon
Maaya Sakamoto,Words Bubble Up Like Soda Pop
Maaya Sakamoto,The Seven Deadly Sins: Cursed by Light
Maaya Sakamoto,Fate/Grand Carnival
Maaya Sakamoto,Fate/Grand Order the Movie: Divine Realm Of The Round Table: Camelot Paladin; Agateram
Maaya Sakamoto,Pretty Boy Detective Club
Maaya Sakamoto,Evangelion: 3.0+1.0 Thrice Upon a Time
Ginzo Matsuo,Mermaid Forest
Ginzo Matsuo,Emergency Departure Rescue Kids
Ginzo Matsuo,Sword for Truth
Ginzo Matsuo,Samurai Gold
Ginzo Matsuo,Fashion Lala: The Story of the Harbour Light
Ginzo Matsuo,Hagemaru
Takashi Matsuyama,Angolmois: Record of Mongol Invasion
Takashi Matsuyama,Music Girls
Takashi Matsuyama,Peacemaker Kurogane: Belief
Takashi Matsuyama,Kaitou Sentai Lupinranger VS Keisatsu Sentai Patranger
Takashi Matsuyama,WorldEnd: What are you doing at the end of the world? Are you busy? Will you save us?
Takashi Matsuyama,Tonkatsu DJ Agetarō
Takashi Matsuyama,磯部磯兵衛物語〜浮世はつらいよ〜
Mitsuru Miyamoto,Barakamon
